Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
85,ATL,2023-01-25,137,@,OKC,W 137-132,240,50,84,.595,39,55,.709,11,29,.379,26,33,.788,137,53,102,.520,38,68,.559,15,34,.441,11,16,.688,132
86,PHI,2023-01-25,137,,BRK,W 137-133,240,42,82,.512,24,44,.545,18,38,.474,35,36,.972,137,49,76,.645,35,50,.700,14,26,.538,21,27,.778,133
87,SAC,2022-11-30,137,,IND,W 137-114,240,48,95,.505,32,52,.615,16,43,.372,25,29,.862,137,40,100,.400,28,63,.444,12,37,.324,22,30,.733,114
88,GSW,2022-11-27,137,@,MIN,W 137-114,240,50,87,.575,30,40,.750,20,47,.426,17,20,.850,137,39,88,.443,25,53,.472,14,35,.400,22,29,.759,114
89,SAC,2022-11-20,137,,DET,W 137-129,240,47,85,.553,35,50,.700,12,35,.343,31,35,.886,137,47,89,.528,32,60,.533,15,29,.517,20,23,.870,129
90,DAL,2022-10-22,137,,MEM,W 137-96,240,45,90,.500,28,51,.549,17,39,.436,30,36,.833,137,34,79,.430,25,46,.543,9,33,.273,19,24,.792,96
91,SAS,2022-10-21,137,@,IND,W 137-134,240,44,81,.543,27,50,.540,17,31,.548,32,44,.727,137,51,104,.490,40,69,.580,11,35,.314,21,22,.955,134
92,NYK,2023-04-09,136,,IND,L 136-141,240,52,108,.481,37,68,.544,15,40,.375,17,22,.773,136,46,89,.517,27,55,.491,19,34,.559,30,38,.789,141
93,LAC,2023-04-08,136,,POR,W 136-125,240,49,93,.527,37,58,.638,12,35,.343,26,30,.867,136,47,89,.528,33,57,.579,14,32,.438,17,23,.739,125
94,PHI,2023-04-07,136,@,ATL,W 136-131 (OT),265,51,102,.500,40,80,.500,11,22,.500,23,29,.793,136,51,92,.554,41,59,.695,10,33,.303,19,28,.679,131
95,GSW,2023-04-04,136,,OKC,W 136-125,240,47,95,.495,27,48,.563,20,47,.426,22,30,.733,136,44,93,.473,33,61,.541,11,32,.344,26,35,.743,125
96,IND,2023-03-29,136,,MIL,L 136-149,240,53,101,.525,39,71,.549,14,30,.467,16,22,.727,136,58,93,.624,48,68,.706,10,25,.400,23,30,.767,149
97,WAS,2023-03-24,136,,SAS,W 136-124,240,51,85,.600,36,55,.655,15,30,.500,19,26,.731,136,51,101,.505,38,63,.603,13,38,.342,9,15,.600,124
98,MIN,2023-03-13,136,@,ATL,W 136-115,240,54,92,.587,42,64,.656,12,28,.429,16,23,.696,136,44,97,.454,40,75,.533,4,22,.182,23,28,.821,115
99,ATL,2023-02-24,136,,CLE,W 136-119,240,50,85,.588,35,57,.614,15,28,.536,21,23,.913,136,40,88,.455,27,53,.509,13,35,.371,26,29,.897,119
100,NOP,2023-02-05,136,,SAC,W 136-104,240,48,85,.565,34,59,.576,14,26,.538,26,34,.765,136,35,82,.427,24,40,.600,11,42,.262,23,27,.852,104
101,MEM,2023-01-16,136,,PHO,W 136-106,240,52,98,.531,36,61,.590,16,37,.432,16,20,.800,136,39,89,.438,29,56,.518,10,33,.303,18,19,.947,106
102,POR,2023-01-14,136,,DAL,W 136-119,240,49,88,.557,32,47,.681,17,41,.415,21,22,.955,136,43,82,.524,21,36,.583,22,46,.478,11,19,.579,119
103,SAC,2023-01-09,136,,ORL,W 136-111,240,52,97,.536,29,51,.569,23,46,.500,9,12,.750,136,41,90,.456,27,46,.587,14,44,.318,15,20,.750,111
104,LAL,2023-01-07,136,@,SAC,W 136-134,240,50,82,.610,41,61,.672,9,21,.429,27,33,.818,136,45,86,.523,31,54,.574,14,32,.438,30,37,.811,134
105,BRK,2022-12-10,136,@,IND,W 136-133,240,52,100,.520,43,72,.597,9,28,.321,23,32,.719,136,47,85,.553,26,41,.634,21,44,.477,18,24,.750,133
106,MIL,2022-11-09,136,@,OKC,W 136-132 (2OT),290,50,106,.472,33,70,.471,17,36,.472,19,22,.864,136,50,111,.450,32,66,.485,18,45,.400,14,19,.737,132
107,ATL,2022-10-28,136,@,DET,W 136-112,240,55,97,.567,43,68,.632,12,29,.414,14,18,.778,136,37,86,.430,30,54,.556,7,32,.219,31,38,.816,112
108,LAL,2023-04-04,135,@,UTA,W 135-133 (OT),265,48,96,.500,36,62,.581,12,34,.353,27,35,.771,135,47,90,.522,32,57,.561,15,33,.455,24,31,.774,133
109,SAC,2023-03-24,135,,PHO,W 135-127,240,47,89,.528,34,50,.680,13,39,.333,28,32,.875,135,48,89,.539,39,60,.650,9,29,.310,22,29,.759,127
110,LAC,2023-03-05,135,,MEM,W 135-129,240,45,85,.529,33,56,.589,12,29,.414,33,35,.943,135,50,92,.543,32,58,.552,18,34,.529,11,15,.733,129
111,GSW,2023-02-13,135,,WAS,W 135-126,240,52,89,.584,32,49,.653,20,40,.500,11,15,.733,135,48,80,.600,36,52,.692,12,28,.429,18,21,.857,126
112,MIL,2023-01-29,135,,NOP,W 135-110,240,53,96,.552,36,53,.679,17,43,.395,12,20,.600,135,41,93,.441,28,59,.475,13,34,.382,15,21,.714,110
113,SAC,2023-01-11,135,,HOU,W 135-115,240,45,94,.479,26,46,.565,19,48,.396,26,31,.839,135,44,96,.458,28,55,.509,16,41,.390,11,17,.647,115
114,MEM,2023-01-11,135,,SAS,W 135-129,240,52,101,.515,38,79,.481,14,22,.636,17,25,.680,135,50,107,.467,39,73,.534,11,34,.324,18,23,.783,129
115,DET,2023-01-11,135,,MIN,W 135-118,240,48,80,.600,31,48,.646,17,32,.531,22,28,.786,135,43,88,.489,27,55,.491,16,33,.485,16,21,.762,118
116,POR,2023-01-02,135,,DET,W 135-106,240,48,84,.571,34,53,.642,14,31,.452,25,35,.714,135,34,82,.415,28,64,.438,6,18,.333,32,41,.780,106
117,IND,2022-12-29,135,,CLE,W 135-126,240,48,85,.565,29,54,.537,19,31,.613,20,21,.952,135,50,96,.521,38,68,.559,12,28,.429,14,20,.700,126
118,ORL,2022-12-14,135,,ATL,W 135-124,240,47,93,.505,31,57,.544,16,36,.444,25,30,.833,135,44,88,.500,32,53,.604,12,35,.343,24,27,.889,124
119,OKC,2022-12-03,135,@,MIN,W 135-128,240,48,93,.516,37,67,.552,11,26,.423,28,35,.800,135,47,89,.528,37,59,.627,10,30,.333,24,30,.800,128
